country,firm,sector,revenue,year,risk
India,Bajaj Finance,Financial Service,53.94,2016,-0.8136669900135666
India,Bajaj Finance,Financial Service,53.94,2017,-0.5313362241326148
India,Bajaj Finance,Financial Service,53.94,2018,-0.9358400280000219
India,Bajaj Finance,Financial Service,53.94,2019,0.0469541691499575
India,Bajaj Finance,Financial Service,53.94,2020,-0.5777801236229771
India,Bajaj Finance,Financial Service,53.94,2022,-0.5054330853102481
India,Bajaj Finance,Financial Service,53.94,2023,-0.5003836345942236
India,Bharti Airtel,Communication Services,107.39,2014,-0.5548275681599533
India,Bharti Airtel,Communication Services,107.39,2015,-0.9915980428398784
India,Bharti Airtel,Communication Services,107.39,2016,-0.3752166825407344
India,Bharti Airtel,Communication Services,107.39,2017,-0.6065112656713627
India,Bharti Airtel,Communication Services,107.39,2018,-1.0463396631175708
India,Bharti Airtel,Communication Services,107.39,2019,-0.6987097168763217
India,Bharti Airtel,Communication Services,107.39,2020,-0.7354334559867679
India,Bharti Airtel,Communication Services,107.39,2021,-0.8275754479018528
India,Bharti Airtel,Communication Services,107.39,2023,-0.7625316036919862
India,HDFC Bank,Financial Service,152.34,2014,-0.7549736100844123
India,HDFC Bank,Financial Service,152.34,2015,-0.5873936427660937
India,HDFC Bank,Financial Service,152.34,2016,-1.2063564548558
India,HDFC Bank,Financial Service,152.34,2017,-0.840389376337608
India,HDFC Bank,Financial Service,152.34,2018,-0.993801781843179
India,HDFC Bank,Financial Service,152.34,2019,-0.797776686746719
India,HDFC Bank,Financial Service,152.34,2020,-0.7283594766251481
India,HDFC Bank,Financial Service,152.34,2021,-1.2101633306586506
India,HDFC Bank,Financial Service,152.34,2022,-0.6794776707573297
India,HDFC Bank,Financial Service,152.34,2023,-0.7506236926619227
India,Hindustan Unilever,Consumer Staples,76.16,2015,-0.4582186201241981
India,Hindustan Unilever,Consumer Staples,76.16,2016,-0.7020030170580026
India,Hindustan Unilever,Consumer Staples,76.16,2017,-0.31305732170135975
India,Hindustan Unilever,Consumer Staples,76.16,2018,-0.998691294568974
India,Hindustan Unilever,Consumer Staples,76.16,2021,-0.70792492832802
India,Hindustan Unilever,Consumer Staples,76.16,2023,-0.5421821437005839
India,ICICI Bank,Financial Service,99.33,2014,-0.5661906944506548
India,ICICI Bank,Financial Service,99.33,2015,-0.9319099714372843
India,ICICI Bank,Financial Service,99.33,2016,-0.4640632846039122
India,ICICI Bank,Financial Service,99.33,2017,-0.8586768413237936
India,ICICI Bank,Financial Service,99.33,2018,-1.2468777629999535
India,ICICI Bank,Financial Service,99.33,2019,-0.8539663125865916
India,ICICI Bank,Financial Service,99.33,2020,-0.7560924495487669
India,ICICI Bank,Financial Service,99.33,2021,-0.5414665219473226
India,ICICI Bank,Financial Service,99.33,2022,-0.8961963155100423
India,ICICI Bank,Financial Service,99.33,2023,-0.8500166458088683
India,ITC,Consumer Staples,73.68,2014,-0.34959981086841385
India,ITC,Consumer Staples,73.68,2015,-0.29549033715995643
India,ITC,Consumer Staples,73.68,2016,-1.0699806032057047
India,ITC,Consumer Staples,73.68,2017,-0.5508749062914593
India,ITC,Consumer Staples,73.68,2018,-0.7332977339269198
India,ITC,Consumer Staples,73.68,2019,-0.5090517393811996
India,ITC,Consumer Staples,73.68,2020,-0.6400791884600023
India,ITC,Consumer Staples,73.68,2021,-0.1117031328232862
India,ITC,Consumer Staples,73.68,2022,-0.45057532759463514
India,ITC,Consumer Staples,73.68,2023,-0.39447322314676025
India,Infosys,Information Technology,90.16,2015,-0.293169550745128
India,Infosys,Information Technology,90.16,2016,-0.3687371927755651
India,Infosys,Information Technology,90.16,2017,-0.42514600658713947
India,Infosys,Information Technology,90.16,2018,-0.2492886720748586
India,Infosys,Information Technology,90.16,2019,-0.4356074240363638
India,Infosys,Information Technology,90.16,2021,-0.07771082406379316
India,Infosys,Information Technology,90.16,2023,-0.42334670980381933
India,Kotak Mahindra Bank,Financial Service,41.8,2015,-0.5818073331508609
India,Kotak Mahindra Bank,Financial Service,41.8,2016,-0.7386788264020728
India,Kotak Mahindra Bank,Financial Service,41.8,2017,-0.5448437079914947
India,Kotak Mahindra Bank,Financial Service,41.8,2018,-0.7049010022886135
India,Kotak Mahindra Bank,Financial Service,41.8,2019,-0.5054615618072293
India,Kotak Mahindra Bank,Financial Service,41.8,2020,-0.21364321583487755
India,Kotak Mahindra Bank,Financial Service,41.8,2021,-0.7858099656614276
India,Kotak Mahindra Bank,Financial Service,41.8,2023,-0.3946789991326626
India,Larsen & Toubro,Industries,58.58,2015,-0.28614508922491705
India,Larsen & Toubro,Industries,58.58,2016,-0.04792510830368218
India,Larsen & Toubro,Industries,58.58,2017,-0.2943488475012652
India,Larsen & Toubro,Industries,58.58,2018,-0.23031207085749056
India,Larsen & Toubro,Industries,58.58,2021,-0.021737447094013464
India,Larsen & Toubro,Industries,58.58,2023,-0.38054577478303914
India,NTPC Limited,Energy,45.66,2014,0.18344020937348934
India,NTPC Limited,Energy,45.66,2015,0.046536461439372345
India,NTPC Limited,Energy,45.66,2016,-0.24150094696506116
India,NTPC Limited,Energy,45.66,2017,0.06967843394330316
India,NTPC Limited,Energy,45.66,2018,0.04946976202961654
India,NTPC Limited,Energy,45.66,2019,0.15918163705712568
India,NTPC Limited,Energy,45.66,2020,0.2268262087222712
India,NTPC Limited,Energy,45.66,2021,0.3639569499683032
